"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"606";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.09.2019";"18.06.2020 17:47:25"
"607";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.10.2019";"18.06.2020 17:51:30"
"608";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.09.2019";"18.06.2020 17:47:47"
"609";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.10.2019";"18.06.2020 17:51:51"
"610";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"21.10.2019";"18.06.2020 17:52:14"
"611";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.09.2019";"18.06.2020 17:48:16"
"612";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.10.2019";"18.06.2020 17:52:33"
"613";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.09.2019";"18.06.2020 17:48:40"
"614";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"21.10.2019";"18.06.2020 17:52:59"
"615";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.09.2019";"18.06.2020 17:48:54"
"616";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.10.2019";"18.06.2020 17:53:19"
"617";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"21.10.2019";"18.06.2020 17:54:05"
"618";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.11.2019";"18.06.2020 17:54:37"
"619";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.11.2019";"18.06.2020 17:55:03"
"620";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.11.2019";"18.06.2020 17:55:15"
"621";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.11.2019";"18.06.2020 17:55:45"
"622";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.11.2019";"12.12.2019 09:58:43"
"623";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.11.2019";"18.06.2020 17:55:57"
"624";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.11.2019";"18.06.2020 17:56:21"
"625";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.11.2019";"18.06.2020 17:56:45"
"626";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.11.2019";"18.06.2020 17:56:57"
"627";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"13.12.2019 10:01:14"
"628";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:30:36"
"629";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:33:49"
"630";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.12.2019";"29.01.2020 17:35:05"
"631";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:36:46"
"632";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:37:29"
"633";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:38:17"
"634";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:39:16"
"635";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:40:12"
"636";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.12.2019";"29.01.2020 17:41:06"
"637";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.01.2021 18:12:55"
"638";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.02.2020 10:45:50"
"639";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.01.2020";"27.02.2020 10:46:56"
"640";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.02.2020 10:48:07"
"641";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.02.2020 10:48:55"
"642";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.02.2020 10:49:40"
"643";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.01.2020";"27.02.2020 10:50:37"
"644";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.01.2020";"27.02.2020 10:51:33"
"645";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"36,02";"Выше нормы";"20.01.2020";"16.12.2020 14:28:00"
"646";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"30,95";"В пределах нормы";"20.02.2020";"16.12.2020 14:42:16"
"647";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"16.12.2020 14:42:29"
"648";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"16.12.2020 14:42:42"
"649";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"42,39";"В пределах нормы";"20.02.2020";"16.12.2020 14:29:00"
"650";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"13.03.2020 10:24:43"
"651";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"13.03.2020 10:25:38"
"652";"р. Ишим, ниже г. Ишима, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"13.03.2020 10:26:27"
"653";"р. Ишим, в створе с. Абатское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"13.03.2020 10:27:21"
"654";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.02.2020";"13.03.2020 10:30:26"
"655";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";" ";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";" ";"Выше ПДК";" ";"20.02.2020";"13.03.2020 10:31:26"
"656";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2020";"13.03.2020 10:32:06"
"657";"р. Тобол, в створе с. Иевлево, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"46,87";"Выше нормы";"20.02.2020";"16.12.2020 14:29:22"
"658";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"79,16";"В пределах нормы";"20.03.2020";"16.12.2020 14:30:21"
"659";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"32,78";"В пределах нормы";"20.03.2020";"16.12.2020 14:30:41"
"660";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"34,52";"В пределах нормы";"20.03.2020";"16.12.2020 14:31:01"
"661";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2020";"21.04.2020 12:33:09"
"662";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2020";"21.04.2020 12:35:36"
"663";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2020";"21.04.2020 12:36:18"
"664";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"30,21";"В пределах нормы";"20.03.2020";"16.12.2020 14:31:20"
"665";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2020";"21.04.2020 12:38:31"
"666";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2020";"21.04.2020 12:40:00"
"667";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:03:02"
"668";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:04:16"
"669";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:05:04"
"670";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:05:52"
"671";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:26:45"
"672";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:27:40"
"673";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:28:48"
"674";"р. Ишим, в створе с. Абатское, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:29:43"
"675";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:30:25"
"676";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:31:16"
"677";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:32:14"
"678";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.04.2020";"25.05.2020 17:33:00"
"679";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 11:44:45"
"680";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 11:46:44"
"681";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 11:48:39"
"682";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 11:50:21"
"683";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 11:51:43"
"684";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:11:52"
"685";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:13:14"
"686";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:14:44"
"687";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:15:37"
"688";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:16:51"
"689";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:18:23"
"690";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:20:03"
"691";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.06.2020";"23.07.2020 12:21:47"
"692";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 12:22:42"
"693";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.06.2020";"23.07.2020 12:23:32"
"694";"р. Тура, в створе с. Салаирка, превышение ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:22:22"
"695";"р. Тура, выше г. Тюмени, превышение ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.07.2020";"23.08.2020 22:24:55"
"696";"р. Тура, ниже г. Тюмени, превышение ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.07.2020";"23.08.2020 22:25:59"
"697";"р. Тура, в створе с. Покровское, превышение ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.07.2020";"23.08.2020 22:27:07"
"698";"р. Ишим, в створе с. Ильинское, превышение ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"В пределах нормы";"В пределах нормы";"20.07.2020";"23.08.2020 22:28:20"
